,Variable,date,Tank,Mean,Cohort
431,Gut content (score):,1/23/2019,RTB2,0.8,Cohort1
432,Hepatosomatic index:,1/23/2019,RTB2,0.032163612,Cohort1
433,Surface necrosis (score):,1/23/2019,RTB2,0.6,Cohort1
434,Antenna:Shrimp lengths (ratio):,1/30/2019,RTB2,0.215529272,Cohort1
435,Condition Factor:,1/30/2019,RTB2,1.033363238,Cohort1
436,Gut content (score):,1/30/2019,RTB2,0,Cohort1
437,Hepatosomatic index:,1/30/2019,RTB2,0.044795421,Cohort1
438,Surface necrosis (score):,1/30/2019,RTB2,0.8,Cohort1
439,Antenna:Shrimp lengths (ratio):,2/6/2019,RTB2,0.232114541,Cohort1
440,Condition Factor:,2/6/2019,RTB2,1.108409295,Cohort1
441,Gut content (score):,2/6/2019,RTB2,1,Cohort1
442,Hepatosomatic index:,2/6/2019,RTB2,0.043175622,Cohort1
443,Surface necrosis (score):,2/6/2019,RTB2,0.4,Cohort1
444,Antenna:Shrimp lengths (ratio):,2/13/2019,RTB2,0.178675442,Cohort1
445,Condition Factor:,2/13/2019,RTB2,1.24002046,Cohort1
446,Gut content (score):,2/13/2019,RTB2,1,Cohort1
447,Hepatosomatic index:,2/13/2019,RTB2,0.046118281,Cohort1
448,Surface necrosis (score):,2/13/2019,RTB2,0.2,Cohort1
449,Antenna:Shrimp lengths (ratio):,2/20/2019,RTB2,0.199609201,Cohort1
450,Condition Factor:,2/20/2019,RTB2,0.862133274,Cohort1
451,Gut content (score):,2/20/2019,RTB2,0.4,Cohort1
452,Hepatosomatic index:,2/20/2019,RTB2,0.035613928,Cohort1
453,Surface necrosis (score):,2/20/2019,RTB2,0.4,Cohort1
454,Antenna:Shrimp lengths (ratio):,2/27/2019,RTB2,0.198683891,Cohort1
455,Condition Factor:,2/27/2019,RTB2,0.843074497,Cohort1
456,Gut content (score):,2/27/2019,RTB2,0.2,Cohort1
457,Hepatosomatic index:,2/27/2019,RTB2,0.038113274,Cohort1
458,Surface necrosis (score):,2/27/2019,RTB2,0.8,Cohort1
459,Antenna:Shrimp lengths (ratio):,3/6/2019,RTB2,0.267066851,Cohort1
460,Condition Factor:,3/6/2019,RTB2,1.104435293,Cohort1
461,Gut content (score):,3/6/2019,RTB2,2.2,Cohort1
462,Hepatosomatic index:,3/6/2019,RTB2,0.037559904,Cohort1
463,Surface necrosis (score):,3/6/2019,RTB2,0.4,Cohort1
464,Antenna:Shrimp lengths (ratio):,3/13/2019,RTB2,0.25730483,Cohort1
465,Condition Factor:,3/13/2019,RTB2,0.881814017,Cohort1
466,Gut content (score):,3/13/2019,RTB2,1.4,Cohort1
467,Hepatosomatic index:,3/13/2019,RTB2,0.050033553,Cohort1
468,Surface necrosis (score):,3/13/2019,RTB2,0,Cohort1
469,Antenna:Shrimp lengths (ratio):,3/20/2019,RTB2,0.259440607,Cohort1
470,Condition Factor:,3/20/2019,RTB2,0.957853555,Cohort1
471,Gut content (score):,3/20/2019,RTB2,1.2,Cohort1
472,Hepatosomatic index:,3/20/2019,RTB2,0.048255655,Cohort1
473,Surface necrosis (score):,3/20/2019,RTB2,0.6,Cohort1
474,Antenna:Shrimp lengths (ratio):,5/8/2019,RTB2,0.215698986,Cohort3
475,Condition Factor:,5/8/2019,RTB2,0.882264086,Cohort3
476,Gut content (score):,5/8/2019,RTB2,0,Cohort3
477,Hepatosomatic index:,5/8/2019,RTB2,0.04156806,Cohort3
478,Surface necrosis (score):,5/8/2019,RTB2,0.8,Cohort3
479,Weight (g),5/8/2019,RTB2,10.102,Cohort3
480,Antenna:Shrimp lengths (ratio):,5/15/2019,RTB2,0.392908017,Cohort3
481,Condition Factor:,5/15/2019,RTB2,0.900177976,Cohort3
482,Gut content (score):,5/15/2019,RTB2,1,Cohort3
483,Hepatosomatic index:,5/15/2019,RTB2,0.037859757,Cohort3
484,Surface necrosis (score):,5/15/2019,RTB2,0.4,Cohort3
485,Weight (g),5/15/2019,RTB2,10.17,Cohort3
486,Antenna:Shrimp lengths (ratio):,5/22/2019,RTB2,0.411631246,Cohort3
487,Condition Factor:,5/22/2019,RTB2,0.940868979,Cohort3
488,Gut content (score):,5/22/2019,RTB2,0.8,Cohort3
489,Hepatosomatic index:,5/22/2019,RTB2,0.040681554,Cohort3
490,Surface necrosis (score):,5/22/2019,RTB2,1.2,Cohort3
491,Weight (g),5/22/2019,RTB2,13.192,Cohort3
492,Antenna:Shrimp lengths (ratio):,5/29/2019,RTB2,0.484571731,Cohort3
493,Condition Factor:,5/29/2019,RTB2,0.937344491,Cohort3
494,Gut content (score):,5/29/2019,RTB2,0.4,Cohort3
495,Hepatosomatic index:,5/29/2019,RTB2,0.043922254,Cohort3
496,Surface necrosis (score):,5/29/2019,RTB2,0.6,Cohort3
497,Weight (g),5/29/2019,RTB2,19.134,Cohort3
498,Gut content (score):,11/20/2019,RTB2,3,Cohort6
499,Surface necrosis (score):,11/20/2019,RTB2,1.8,Cohort6
500,Gut content (score):,11/26/2019,RTB2,1.6,Cohort6
501,Surface necrosis (score):,11/26/2019,RTB2,0.4,Cohort6
502,Antenna:Shrimp lengths (ratio):,1/2/2020,RTB2,0.393412492,Cohort6
503,Condition Factor:,1/2/2020,RTB2,0.868789261,Cohort6
504,Gut content (score):,1/2/2020,RTB2,0.8,Cohort6
505,Hepatosomatic index:,1/2/2020,RTB2,0.051735919,Cohort6
506,Surface necrosis (score):,1/2/2020,RTB2,0.4,Cohort6
507,Weight (g),1/2/2020,RTB2,18.148,Cohort6
508,Antenna:Shrimp lengths (ratio):,1/8/2020,RTB2,0.433908912,Cohort6
509,Condition Factor:,1/8/2020,RTB2,0.940618207,Cohort6
510,Gut content (score):,1/8/2020,RTB2,0.6,Cohort6
511,Hepatosomatic index:,1/8/2020,RTB2,0.045230589,Cohort6
512,Surface necrosis (score):,1/8/2020,RTB2,0.8,Cohort6
513,Weight (g),1/8/2020,RTB2,18.266,Cohort6
514,Antenna:Shrimp lengths (ratio):,1/15/2020,RTB2,0.374755103,Cohort6
515,Condition Factor:,1/15/2020,RTB2,0.919402506,Cohort6
516,Gut content (score):,1/15/2020,RTB2,0.8,Cohort6
517,Hepatosomatic index:,1/15/2020,RTB2,0.051137971,Cohort6
518,Surface necrosis (score):,1/15/2020,RTB2,1,Cohort6
519,Weight (g),1/15/2020,RTB2,19.368,Cohort6
520,Antenna:Shrimp lengths (ratio):,1/22/2020,RTB2,0.391394687,Cohort6
521,Condition Factor:,1/22/2020,RTB2,1.02675905,Cohort6
522,Gut content (score):,1/22/2020,RTB2,1.2,Cohort6
523,Hepatosomatic index:,1/22/2020,RTB2,0.043248051,Cohort6
524,Surface necrosis (score):,1/22/2020,RTB2,0.6,Cohort6
525,Weight (g),1/22/2020,RTB2,25.932,Cohort6
526,Antenna:Shrimp lengths (ratio):,1/29/2020,RTB2,0.367446454,Cohort6
527,Condition Factor:,1/29/2020,RTB2,1.022252604,Cohort6
528,Gut content (score):,1/29/2020,RTB2,1.2,Cohort6
529,Hepatosomatic index:,1/29/2020,RTB2,0.044767897,Cohort6
530,Surface necrosis (score):,1/29/2020,RTB2,0.8,Cohort6
531,Weight (g),1/29/2020,RTB2,26.576,Cohort6
532,Antenna:Shrimp lengths (ratio):,2/5/2020,RTB2,0.285578982,Cohort6
533,Condition Factor:,2/5/2020,RTB2,0.91167593,Cohort6
534,Gut content (score):,2/5/2020,RTB2,2,Cohort6
535,Hepatosomatic index:,2/5/2020,RTB2,0.045552376,Cohort6
536,Surface necrosis (score):,2/5/2020,RTB2,1,Cohort6
537,Weight (g),2/5/2020,RTB2,27.412,Cohort6
538,Antenna:Shrimp lengths (ratio):,2/12/2020,RTB2,0.223102672,Cohort6
539,Condition Factor:,2/12/2020,RTB2,0.963170312,Cohort6
540,Gut content (score):,2/12/2020,RTB2,1.6,Cohort6
541,Hepatosomatic index:,2/12/2020,RTB2,0.039559692,Cohort6
542,Surface necrosis (score):,2/12/2020,RTB2,1,Cohort6
543,Weight (g),2/12/2020,RTB2,27.122,Cohort6
544,Antenna:Shrimp lengths (ratio):,3/11/2020,RTB2,0.853014744,
545,Condition Factor:,3/11/2020,RTB2,0.95961006,
546,Gut content (score):,3/11/2020,RTB2,2.8,
547,Hepatosomatic index:,3/11/2020,RTB2,0.063420268,
548,Surface necrosis (score):,3/11/2020,RTB2,0.8,
549,Weight (g),3/11/2020,RTB2,1.074,
550,Antenna:Shrimp lengths (ratio):,3/18/2020,RTB2,0.768714481,
551,Condition Factor:,3/18/2020,RTB2,0.84770531,
552,Gut content (score):,3/18/2020,RTB2,0.6,
553,Hepatosomatic index:,3/18/2020,RTB2,0.061497251,
554,Surface necrosis (score):,3/18/2020,RTB2,0,
555,Weight (g),3/18/2020,RTB2,3.39,
556,Antenna:Shrimp lengths (ratio):,3/25/2020,RTB2,0.974628861,
557,Condition Factor:,3/25/2020,RTB2,0.896532325,
558,Gut content (score):,3/25/2020,RTB2,1.8,
559,Hepatosomatic index:,3/25/2020,RTB2,0.062095074,
560,Surface necrosis (score):,3/25/2020,RTB2,0.8,
561,Weight (g),3/25/2020,RTB2,5.548,
562,Antenna:Shrimp lengths (ratio):,12/5/2018,RTB3,0.86100239,Cohort1
563,Condition Factor:,12/5/2018,RTB3,1.07711162,Cohort1
564,Gut content (score):,12/5/2018,RTB3,0,Cohort1
565,Hepatosomatic index:,12/5/2018,RTB3,0.07339874,Cohort1
566,Surface necrosis (score):,12/5/2018,RTB3,0.2,Cohort1
567,Antenna:Shrimp lengths (ratio):,12/12/2018,RTB3,1.120747594,Cohort1
568,Condition Factor:,12/12/2018,RTB3,1.219107598,Cohort1
569,Gut content (score):,12/12/2018,RTB3,0,Cohort1
570,Hepatosomatic index:,12/12/2018,RTB3,0.068247786,Cohort1
571,Surface necrosis (score):,12/12/2018,RTB3,0,Cohort1
572,Antenna:Shrimp lengths (ratio):,12/19/2018,RTB3,1.039553612,Cohort1
573,Condition Factor:,12/19/2018,RTB3,1.276562079,Cohort1
574,Gut content (score):,12/19/2018,RTB3,0,Cohort1
575,Hepatosomatic index:,12/19/2018,RTB3,0.057559424,Cohort1
576,Surface necrosis (score):,12/19/2018,RTB3,0,Cohort1
577,Antenna:Shrimp lengths (ratio):,12/26/2018,RTB3,0.769691474,Cohort1
578,Condition Factor:,12/26/2018,RTB3,1.128270065,Cohort1
579,Gut content (score):,12/26/2018,RTB3,1.8,Cohort1
580,Hepatosomatic index:,12/26/2018,RTB3,0.050474905,Cohort1
581,Surface necrosis (score):,12/26/2018,RTB3,0,Cohort1
582,Antenna:Shrimp lengths (ratio):,1/2/2019,RTB3,0.535204805,Cohort1
583,Condition Factor:,1/2/2019,RTB3,1.188901799,Cohort1
584,Gut content (score):,1/2/2019,RTB3,1.8,Cohort1
585,Hepatosomatic index:,1/2/2019,RTB3,0.048839678,Cohort1
586,Surface necrosis (score):,1/2/2019,RTB3,0.2,Cohort1
587,Antenna:Shrimp lengths (ratio):,1/9/2019,RTB3,0.408200193,Cohort1
588,Condition Factor:,1/9/2019,RTB3,1.051369953,Cohort1
589,Gut content (score):,1/9/2019,RTB3,0.6,Cohort1
590,Hepatosomatic index:,1/9/2019,RTB3,0.046435181,Cohort1
591,Surface necrosis (score):,1/9/2019,RTB3,0.4,Cohort1
592,Antenna:Shrimp lengths (ratio):,1/16/2019,RTB3,0.287288814,Cohort1
593,Condition Factor:,1/16/2019,RTB3,1.075611928,Cohort1
594,Gut content (score):,1/16/2019,RTB3,0.6,Cohort1
595,Hepatosomatic index:,1/16/2019,RTB3,0.03603513,Cohort1
596,Surface necrosis (score):,1/16/2019,RTB3,0.6,Cohort1
597,Antenna:Shrimp lengths (ratio):,1/23/2019,RTB3,0.255575256,Cohort1
598,Condition Factor:,1/23/2019,RTB3,0.96097895,Cohort1
599,Gut content (score):,1/23/2019,RTB3,0,Cohort1
600,Hepatosomatic index:,1/23/2019,RTB3,0.043867139,Cohort1
601,Surface necrosis (score):,1/23/2019,RTB3,0.6,Cohort1
602,Antenna:Shrimp lengths (ratio):,1/30/2019,RTB3,0.279092433,Cohort1
603,Condition Factor:,1/30/2019,RTB3,0.915675298,Cohort1
604,Gut content (score):,1/30/2019,RTB3,1.2,Cohort1
605,Hepatosomatic index:,1/30/2019,RTB3,0.042781983,Cohort1
606,Surface necrosis (score):,1/30/2019,RTB3,0.2,Cohort1
607,Antenna:Shrimp lengths (ratio):,2/6/2019,RTB3,0.27692147,Cohort1
608,Condition Factor:,2/6/2019,RTB3,1.094225739,Cohort1
609,Gut content (score):,2/6/2019,RTB3,0.8,Cohort1
610,Hepatosomatic index:,2/6/2019,RTB3,0.038712442,Cohort1
611,Surface necrosis (score):,2/6/2019,RTB3,0.4,Cohort1
612,Antenna:Shrimp lengths (ratio):,2/13/2019,RTB3,0.350564049,Cohort1
613,Condition Factor:,2/13/2019,RTB3,1.067369073,Cohort1
614,Gut content (score):,2/13/2019,RTB3,1,Cohort1
615,Hepatosomatic index:,2/13/2019,RTB3,0.047781405,Cohort1
616,Surface necrosis (score):,2/13/2019,RTB3,0,Cohort1
617,Antenna:Shrimp lengths (ratio):,2/20/2019,RTB3,0.3084874,Cohort1
618,Condition Factor:,2/20/2019,RTB3,0.941397098,Cohort1
619,Gut content (score):,2/20/2019,RTB3,1,Cohort1
620,Hepatosomatic index:,2/20/2019,RTB3,0.043340546,Cohort1
621,Surface necrosis (score):,2/20/2019,RTB3,0.6,Cohort1
622,Antenna:Shrimp lengths (ratio):,2/27/2019,RTB3,0.18971403,Cohort1
623,Condition Factor:,2/27/2019,RTB3,0.883294302,Cohort1
624,Gut content (score):,2/27/2019,RTB3,0.8,Cohort1
625,Hepatosomatic index:,2/27/2019,RTB3,0.04237941,Cohort1
626,Surface necrosis (score):,2/27/2019,RTB3,0.4,Cohort1
627,Antenna:Shrimp lengths (ratio):,3/6/2019,RTB3,0.251970871,Cohort1
628,Condition Factor:,3/6/2019,RTB3,0.927255355,Cohort1
629,Gut content (score):,3/6/2019,RTB3,0.6,Cohort1
630,Hepatosomatic index:,3/6/2019,RTB3,0.062198984,Cohort1
631,Surface necrosis (score):,3/6/2019,RTB3,0.2,Cohort1
632,Antenna:Shrimp lengths (ratio):,3/13/2019,RTB3,0.204545064,Cohort1
633,Condition Factor:,3/13/2019,RTB3,0.876449895,Cohort1
634,Gut content (score):,3/13/2019,RTB3,1,Cohort1
635,Hepatosomatic index:,3/13/2019,RTB3,0.043315683,Cohort1
636,Surface necrosis (score):,3/13/2019,RTB3,0.6,Cohort1
637,Antenna:Shrimp lengths (ratio):,3/20/2019,RTB3,0.30930623,Cohort1
638,Condition Factor:,3/20/2019,RTB3,0.891501714,Cohort1
639,Gut content (score):,3/20/2019,RTB3,24.6,Cohort1
640,Hepatosomatic index:,3/20/2019,RTB3,0.061619026,Cohort1
641,Surface necrosis (score):,3/20/2019,RTB3,1.2,Cohort1
642,Antenna:Shrimp lengths (ratio):,5/8/2019,RTB3,0.402654429,
643,Condition Factor:,5/8/2019,RTB3,0.874175894,
644,Gut content (score):,5/8/2019,RTB3,2.2,
645,Hepatosomatic index:,5/8/2019,RTB3,0.041682251,
646,Surface necrosis (score):,5/8/2019,RTB3,0.6,
647,Weight (g),5/8/2019,RTB3,10.326,
648,Gut content (score):,9/4/2019,RTB3,0.8,
649,Surface necrosis (score):,9/4/2019,RTB3,0.2,
650,Gut content (score):,9/10/2019,RTB3,0.4,
651,Surface necrosis (score):,9/10/2019,RTB3,0,
652,Gut content (score):,11/6/2019,RTB3,1.6,
653,Surface necrosis (score):,11/6/2019,RTB3,0.2,
654,Gut content (score):,11/13/2019,RTB3,2,
655,Surface necrosis (score):,11/13/2019,RTB3,0.6,
656,Gut content (score):,1/2/2020,RTB3,0.4,Cohort8
657,Surface necrosis (score):,1/2/2020,RTB3,0.2,Cohort8
658,Gut content (score):,2/5/2020,RTB3,2.4,Cohort8
659,Surface necrosis (score):,2/5/2020,RTB3,0.2,Cohort8
660,Gut content (score):,2/12/2020,RTB3,2.6,Cohort8
661,Surface necrosis (score):,2/12/2020,RTB3,0.6,Cohort8
662,Gut content (score):,2/26/2020,RTB3,3.8,Cohort8
663,Surface necrosis (score):,2/26/2020,RTB3,0,Cohort8
664,Gut content (score):,3/4/2020,RTB3,2,Cohort8
665,Surface necrosis (score):,3/4/2020,RTB3,0.6,Cohort8
666,Antenna:Shrimp lengths (ratio):,12/5/2018,RTB4,1.003127687,Cohort1
667,Condition Factor:,12/5/2018,RTB4,1.631059206,Cohort1
668,Gut content (score):,12/5/2018,RTB4,0,Cohort1
669,Hepatosomatic index:,12/5/2018,RTB4,0.064307882,Cohort1
670,Surface necrosis (score):,12/5/2018,RTB4,0,Cohort1
671,Antenna:Shrimp lengths (ratio):,12/12/2018,RTB4,1.178125452,Cohort1
672,Condition Factor:,12/12/2018,RTB4,1.326059233,Cohort1
673,Gut content (score):,12/12/2018,RTB4,0.2,Cohort1
674,Hepatosomatic index:,12/12/2018,RTB4,0.059390232,Cohort1
675,Surface necrosis (score):,12/12/2018,RTB4,0,Cohort1
676,Antenna:Shrimp lengths (ratio):,12/19/2018,RTB4,0.812225985,Cohort1
677,Condition Factor:,12/19/2018,RTB4,1.280049244,Cohort1
678,Gut content (score):,12/19/2018,RTB4,1.8,Cohort1
679,Hepatosomatic index:,12/19/2018,RTB4,0.055324436,Cohort1
680,Surface necrosis (score):,12/19/2018,RTB4,0,Cohort1
681,Antenna:Shrimp lengths (ratio):,12/26/2018,RTB4,0.707965388,Cohort1
682,Condition Factor:,12/26/2018,RTB4,0.948190493,Cohort1
683,Gut content (score):,12/26/2018,RTB4,0.6,Cohort1
684,Hepatosomatic index:,12/26/2018,RTB4,0.065601672,Cohort1
685,Surface necrosis (score):,12/26/2018,RTB4,0.2,Cohort1
686,Antenna:Shrimp lengths (ratio):,1/2/2019,RTB4,0.438184234,Cohort1
687,Condition Factor:,1/2/2019,RTB4,1.211176925,Cohort1
688,Gut content (score):,1/2/2019,RTB4,1,Cohort1
689,Hepatosomatic index:,1/2/2019,RTB4,0.048599838,Cohort1
690,Surface necrosis (score):,1/2/2019,RTB4,0.2,Cohort1
691,Antenna:Shrimp lengths (ratio):,1/9/2019,RTB4,0.339364374,Cohort1
692,Condition Factor:,1/9/2019,RTB4,1.011597565,Cohort1
693,Gut content (score):,1/9/2019,RTB4,1.8,Cohort1
694,Hepatosomatic index:,1/9/2019,RTB4,0.046510295,Cohort1
695,Surface necrosis (score):,1/9/2019,RTB4,0.6,Cohort1
696,Antenna:Shrimp lengths (ratio):,1/16/2019,RTB4,0.334152913,Cohort1
697,Condition Factor:,1/16/2019,RTB4,1.072865075,Cohort1
698,Gut content (score):,1/16/2019,RTB4,1,Cohort1
699,Hepatosomatic index:,1/16/2019,RTB4,0.042710662,Cohort1
700,Surface necrosis (score):,1/16/2019,RTB4,0.2,Cohort1
701,Antenna:Shrimp lengths (ratio):,1/23/2019,RTB4,0.271311966,Cohort1
702,Condition Factor:,1/23/2019,RTB4,1.122184996,Cohort1
703,Gut content (score):,1/23/2019,RTB4,0.2,Cohort1
704,Hepatosomatic index:,1/23/2019,RTB4,0.043937796,Cohort1
705,Surface necrosis (score):,1/23/2019,RTB4,1,Cohort1
706,Antenna:Shrimp lengths (ratio):,1/30/2019,RTB4,0.177820626,Cohort1
707,Condition Factor:,1/30/2019,RTB4,0.963761708,Cohort1
708,Gut content (score):,1/30/2019,RTB4,1.6,Cohort1
709,Hepatosomatic index:,1/30/2019,RTB4,0.038627751,Cohort1
710,Surface necrosis (score):,1/30/2019,RTB4,0.4,Cohort1
711,Antenna:Shrimp lengths (ratio):,2/6/2019,RTB4,0.12461071,Cohort1
712,Condition Factor:,2/6/2019,RTB4,1.091542739,Cohort1
713,Gut content (score):,2/6/2019,RTB4,0.8,Cohort1
714,Hepatosomatic index:,2/6/2019,RTB4,0.042052164,Cohort1
715,Surface necrosis (score):,2/6/2019,RTB4,0.8,Cohort1
716,Antenna:Shrimp lengths (ratio):,2/13/2019,RTB4,0.366575384,Cohort1
717,Condition Factor:,2/13/2019,RTB4,1.231742247,Cohort1
718,Gut content (score):,2/13/2019,RTB4,1,Cohort1
719,Hepatosomatic index:,2/13/2019,RTB4,0.04788351,Cohort1
720,Surface necrosis (score):,2/13/2019,RTB4,0.8,Cohort1
721,Antenna:Shrimp lengths (ratio):,2/20/2019,RTB4,0.210594272,Cohort1
722,Condition Factor:,2/20/2019,RTB4,0.839090905,Cohort1
723,Gut content (score):,2/20/2019,RTB4,1,Cohort1
724,Hepatosomatic index:,2/20/2019,RTB4,0.043926395,Cohort1
725,Surface necrosis (score):,2/20/2019,RTB4,0.8,Cohort1
726,Antenna:Shrimp lengths (ratio):,2/27/2019,RTB4,0.271769454,Cohort1
727,Condition Factor:,2/27/2019,RTB4,0.942960312,Cohort1
728,Gut content (score):,2/27/2019,RTB4,2,Cohort1
729,Hepatosomatic index:,2/27/2019,RTB4,0.046125389,Cohort1
730,Surface necrosis (score):,2/27/2019,RTB4,0.4,Cohort1
731,Antenna:Shrimp lengths (ratio):,3/6/2019,RTB4,0.251375229,Cohort1
732,Condition Factor:,3/6/2019,RTB4,0.932383189,Cohort1
733,Gut content (score):,3/6/2019,RTB4,0,Cohort1
734,Hepatosomatic index:,3/6/2019,RTB4,0.042514385,Cohort1
735,Surface necrosis (score):,3/6/2019,RTB4,0.4,Cohort1
736,Antenna:Shrimp lengths (ratio):,3/13/2019,RTB4,0.278735757,Cohort1
737,Condition Factor:,3/13/2019,RTB4,0.827224203,Cohort1
738,Gut content (score):,3/13/2019,RTB4,1.8,Cohort1
739,Hepatosomatic index:,3/13/2019,RTB4,0.042744451,Cohort1
740,Surface necrosis (score):,3/13/2019,RTB4,0.2,Cohort1
741,Antenna:Shrimp lengths (ratio):,3/20/2019,RTB4,0.253203295,Cohort1
742,Condition Factor:,3/20/2019,RTB4,0.924951003,Cohort1
743,Gut content (score):,3/20/2019,RTB4,0.2,Cohort1
744,Hepatosomatic index:,3/20/2019,RTB4,0.043949579,Cohort1
745,Surface necrosis (score):,3/20/2019,RTB4,0.6,Cohort1
746,Antenna:Shrimp lengths (ratio):,5/15/2019,RTB4,0.433987606,Cohort3
747,Condition Factor:,5/15/2019,RTB4,0.890226203,Cohort3
748,Gut content (score):,5/15/2019,RTB4,0.4,Cohort3
749,Hepatosomatic index:,5/15/2019,RTB4,0.040351821,Cohort3
750,Surface necrosis (score):,5/15/2019,RTB4,0.4,Cohort3
751,Weight (g),5/15/2019,RTB4,12.378,Cohort3
752,Antenna:Shrimp lengths (ratio):,5/22/2019,RTB4,0.3353783,Cohort3
753,Condition Factor:,5/22/2019,RTB4,0.932021019,Cohort3
754,Gut content (score):,5/22/2019,RTB4,0.8,Cohort3
755,Hepatosomatic index:,5/22/2019,RTB4,0.041183826,Cohort3
756,Surface necrosis (score):,5/22/2019,RTB4,1,Cohort3
757,Weight (g),5/22/2019,RTB4,15.11,Cohort3
758,Antenna:Shrimp lengths (ratio):,5/29/2019,RTB4,0.37325217,Cohort3
759,Condition Factor:,5/29/2019,RTB4,0.911309052,Cohort3
760,Gut content (score):,5/29/2019,RTB4,1.4,Cohort3
761,Hepatosomatic index:,5/29/2019,RTB4,0.038597235,Cohort3
762,Surface necrosis (score):,5/29/2019,RTB4,0.4,Cohort3
763,Weight (g),5/29/2019,RTB4,13.548,Cohort3
764,Gut content (score):,11/20/2019,RTB4,1.8,Cohort6
765,Surface necrosis (score):,11/20/2019,RTB4,1,Cohort6
766,Gut content (score):,11/26/2019,RTB4,1,Cohort6
767,Surface necrosis (score):,11/26/2019,RTB4,0.6,Cohort6
768,Antenna:Shrimp lengths (ratio):,1/2/2020,RTB4,0.462115764,Cohort6
769,Condition Factor:,1/2/2020,RTB4,0.864433711,Cohort6
770,Gut content (score):,1/2/2020,RTB4,2,Cohort6
771,Hepatosomatic index:,1/2/2020,RTB4,0.047771926,Cohort6
772,Surface necrosis (score):,1/2/2020,RTB4,0.6,Cohort6
773,Weight (g),1/2/2020,RTB4,18.882,Cohort6
774,Antenna:Shrimp lengths (ratio):,1/8/2020,RTB4,0.526517152,Cohort6
775,Condition Factor:,1/8/2020,RTB4,0.948732235,Cohort6
776,Gut content (score):,1/8/2020,RTB4,0.6,Cohort6
777,Hepatosomatic index:,1/8/2020,RTB4,0.047091363,Cohort6
778,Surface necrosis (score):,1/8/2020,RTB4,1,Cohort6
779,Weight (g),1/8/2020,RTB4,20.744,Cohort6
780,Antenna:Shrimp lengths (ratio):,1/15/2020,RTB4,0.320912963,Cohort6
781,Condition Factor:,1/15/2020,RTB4,0.928739847,Cohort6
782,Gut content (score):,1/15/2020,RTB4,2,Cohort6
783,Hepatosomatic index:,1/15/2020,RTB4,0.047284525,Cohort6
784,Surface necrosis (score):,1/15/2020,RTB4,0.8,Cohort6
785,Weight (g),1/15/2020,RTB4,21.67,Cohort6
786,Antenna:Shrimp lengths (ratio):,1/22/2020,RTB4,0.330328449,Cohort6
787,Condition Factor:,1/22/2020,RTB4,0.940387882,Cohort6
788,Gut content (score):,1/22/2020,RTB4,1.8,Cohort6
789,Hepatosomatic index:,1/22/2020,RTB4,0.044873656,Cohort6
790,Surface necrosis (score):,1/22/2020,RTB4,0.8,Cohort6
791,Weight (g),1/22/2020,RTB4,25.876,Cohort6
792,Antenna:Shrimp lengths (ratio):,1/29/2020,RTB4,0.280802571,Cohort6
793,Condition Factor:,1/29/2020,RTB4,0.988222293,Cohort6
794,Gut content (score):,1/29/2020,RTB4,0.4,Cohort6
795,Hepatosomatic index:,1/29/2020,RTB4,0.034523791,Cohort6
796,Surface necrosis (score):,1/29/2020,RTB4,1,Cohort6
797,Weight (g),1/29/2020,RTB4,26.034,Cohort6
798,Antenna:Shrimp lengths (ratio):,2/5/2020,RTB4,0.22112582,Cohort6
799,Condition Factor:,2/5/2020,RTB4,0.888416921,Cohort6
800,Gut content (score):,2/5/2020,RTB4,1.4,Cohort6
801,Hepatosomatic index:,2/5/2020,RTB4,0.043812504,Cohort6
802,Surface necrosis (score):,2/5/2020,RTB4,1.2,Cohort6
803,Weight (g),2/5/2020,RTB4,28.164,Cohort6
804,Antenna:Shrimp lengths (ratio):,2/12/2020,RTB4,0.254963191,Cohort6
805,Condition Factor:,2/12/2020,RTB4,0.95400028,Cohort6
806,Gut content (score):,2/12/2020,RTB4,0.6,Cohort6
807,Hepatosomatic index:,2/12/2020,RTB4,0.042531746,Cohort6
808,Surface necrosis (score):,2/12/2020,RTB4,1,Cohort6
809,Weight (g),2/12/2020,RTB4,29.072,Cohort6
810,Antenna:Shrimp lengths (ratio):,2/19/2020,RTB4,0.28024685,Cohort6
811,Condition Factor:,2/19/2020,RTB4,0.861333559,Cohort6
812,Gut content (score):,2/19/2020,RTB4,2.6,Cohort6
813,Hepatosomatic index:,2/19/2020,RTB4,0.041957504,Cohort6
814,Surface necrosis (score):,2/19/2020,RTB4,1,Cohort6
815,Weight (g),2/19/2020,RTB4,32.366,Cohort6
816,Antenna:Shrimp lengths (ratio):,2/26/2020,RTB4,0.192505599,Cohort6
817,Condition Factor:,2/26/2020,RTB4,0.991765266,Cohort6
818,Gut content (score):,2/26/2020,RTB4,1.2,Cohort6
819,Hepatosomatic index:,2/26/2020,RTB4,0.039847533,Cohort6
820,Surface necrosis (score):,2/26/2020,RTB4,1,Cohort6
821,Weight (g),2/26/2020,RTB4,31.168,Cohort6
822,Antenna:Shrimp lengths (ratio):,3/4/2020,RTB4,0.207254536,Cohort6
823,Condition Factor:,3/4/2020,RTB4,0.977381468,Cohort6
824,Gut content (score):,3/4/2020,RTB4,0.8,Cohort6
825,Hepatosomatic index:,3/4/2020,RTB4,0.039723172,Cohort6
826,Surface necrosis (score):,3/4/2020,RTB4,1,Cohort6
